allume le chauffage du salon;TurnOn(chauffage, salon)
éteins le chauffage du salon;TurnOff(chauffage, salon)
mets le chauffage à 16 degrès;Set(device=chauffage, param=10)
mets le chauffage à 17 degrès;Set(device=chauffage, param=17)
mets le chauffage à 18 degrès;Set(device=chauffage, param=18)
mets le chauffage à 19 degrès;Set(device=chauffage, param=19)
mets le chauffage à 20 degrès;Set(device=chauffage, param=20)
mets le chauffage à 21 degrès;Set(device=chauffage, param=21)
mets le chauffage à 22 degrès;Set(device=chauffage, param=22)
mets le chauffage à 23 degrès;Set(device=chauffage, param=23)
mets le chauffage à 24 degrès;Set(device=chauffage, param=24)
mets le chauffage à 25 degrès;Set(device=chauffage, param=25)
mets le chauffage à 26 degrès;Set(device=chauffage, param=26)
mets le chauffage à 27 degrès;Set(device=chauffage, param=27)
mets le chauffage à 28 degrès;Set(device=chauffage, param=28)
mets le chauffage à 29 degrès;Set(device=chauffage, param=29)
mets le chauffage à 30 degrès;Set(device=chauffage, param=30)
mets le chauffage à cinq degrès;Set(device=chauffage, param=5)
mets le chauffage à dix degrès;Set(device=chauffage, param=10)